"word","pronounciation","meaning","source","source2","note","gematria"
"TLB",,"HIM, OF","WE",,,
"TLIOB",,"SEPARATE (verb)","WE",,,
"TNBR",,"Kerubic Angel EARTH OF AIR","WE",,,
"TOANT","toh-an-teh","love, union","EMPM",,,92
"TOANT","toh-an-teh","love, union","EMPM",,,104
"TOANTOM",,"PART IN ASP","WE",,,
"TOATAR",,"HARKEN","WE",,,
"TOCARZI",,"PART IN TAN","WE",,,
"TOCO",,"Servient Angel AIR OF WATER","WE",,,
"TODNAON",,"PART IN ZID","WE",,,
"TOFGLO",,"THINGS, ALL","WE",,,
"TOGCO",,"Servient Angel AIR OF WATER","WE",,,
"TOH","toh","triumph","EMPM",,,34
"TOH","toh","triumph","EMPM",,,40
"TOH",,"TRIUMPHS","WE",,,
"TOHCOTH",,"FAERIES","WE",,,
"TOHOMAPHALA",,"NAME OF A GUARDIAN ANGEL","WE",,,
"TOITT",,"Servient Angel AIR OF AIR (VAR)","WE",,,
"TOL","toh-el","all, everything","EMPM",,,41
"TOL","toh-el","all, everything","EMPM",,,47
"TOL",,"ALL","WE",,,
"TOL",,"ON ALL","WE",,,
"TOLTORG",,"CREATURES OF EARTH, THE","WE",,,
"TOLTORGI",,"CREATURES, WITH HER","WE",,,
"TOLTORN",,"CREATURES","WE",,,
"TOLTORN",,"CREATURE","WE",,,
"TON",,"ALL, VAR. ON 'TOL'","WE",,,
"TONUG",,"DEFACE, LET THEM BE DEFACED","WE",,,
"TOOAT","toh-oh-ah-teh","to provide","EMPM",,,72
"TOOAT","toh-oh-ah-teh","to provide","EMPM",,,84
"TOOAT",,"FURNISHING","WE",,,
"TOR",,"23RD AETHYR","WE",,,
"TORGU",,"ARISE (alt.sp.)","WE",,,
"TORZOXI",,"PART IN POP","WE",,,
"TORZU",,"ARISE","WE",,,
"TORZUL",,"RISE, SHALL","WE",,,
"TORZULP",,"RISE, ROSE UP","WE",,,
"TOTO","toh-toh","cycles","EMPM",,,66
"TOTO","toh-toh","cycles","EMPM",,,78
"TOTOCAN",,"PART IN CHR","WE",,,
"TOTT",,"Servient Angel AIR OF AIR","WE",,,
"TOX",,"HIM, OF","WE",,,
"TPRDEMAH",,"of darkness","WE","Liber Loagaeth",,
"TRANAN",,"MARROW, THE","WE",,,
"TRIAN",,"SHALL BE","WE",,,
"TRIAN",,"SHALL BE","WE",,,
"TRINT",,"SIT","WE",,,
"TROF",,"BUILDING, A","WE",,,
"TULE",,"'It ends with [the goddess] El’; ‘Completed by the goddess’ or ‘Ending with the goddess’","WE","Table of 12",,
"TULE",,"TULE Name from T12Sqr","WE",,,
"TULE",,"ILRO LETTERS OF T12SQR","WE",,,
"TURBS",,"BEAUTY, IN THEIR","WE",,,
"TUSTAX",,"GOING","WE",,,
"TZESTS",,"Being of the 4","WE",,,
"U",,"U Val (U, V, W)","WE",,,
"UCIM",,"they frown not","WE",,,
"UGEAR",,"strength, the s. of men","WE",,,
"UGEG",,"strong, grow","WE",,,
"UGEG",,"strong, waxes","WE",,,
"UGEG",,"strong, become","WE",,,
"UL",,"end","WE",,,
"ULCININ",,"happy is he","WE",,,
"ULR",,"Name from T12Sqr","WE",,,
"ULS",,"ends, the","WE",,,
"UM",,"called, named, var on 'vmd'","WE",,,
"UMADEA",,"towers, strong","WE",,,
"UMBLOSDA",,"one who resides in the skies","WE","Liber Loagaeth",,
"UML",,"add","WE",,,
"UMPLIF",,"strength, our","WE",,,
"UN",,"ENOCHIAN LETTER A","WE",,,
"UNAL",,"these","WE",,,
"UNALAB",,"skirt","WE",,,
"UNALAH",,"skirts, the","WE",,,
"UNBA",,"is powerful","WE","Liber Loagaeth",,
"UNCAL",,"meaning unknown","WE",,,
"UNCHI",,"confound","WE",,,
"UNDES",,"leaves the 4th","WE","Liber Loagaeth",,
"UNDL",,"rest; remainder, the","WE",,,
"UNIG",,"requires","WE",,,
"UNIGLAG",,"descend","WE",,,
"UNNAX",,"Sephirotic Cross AIR OF EARTH","WE",,,
"UNPH",,"anger, wrath. var on 'vonph'?","WE",,,
"UOLXDO",,"Sephirotic Cross EARTH OF FIRE","WE",,,
"UPAAH",,"WINGS","WE",,,
"UR",,"ENOCHIAN LETTER L","WE",,,
"URAN",,"ELDERS, THE","WE",,,
"URCH",,"CONFOUNDING ANGELS","WE",,,
"USNARDA",,"PART IN ICH","WE",,,
"UTA",,"FOURTEENTH AETHYR","WE",,,
"UTI",,"25TH AETHYR","WE",,,
"V",,"star","WE","Liber Loagaeth",,
"VA",,"spirit of Vaa","WE","Liber Loagaeth",,
"VAA",,"NAME OF AN ANGEL","WE",,,
"VAA",,"(angel of the 4 moons)","WE","Liber Loagaeth",,
"VAASA",,"Servient Angel FIRE OF WATER","WE",,,
"VABZIR",,"eagle, the","WE",,,
"VADALI",,"Sephirotic Cross WATER OF FIRE","WE",,,
"VADALI",,"Sephirotic Cross WATER OF FIRE","WE",,,
"VADGS",,"time","WE","Liber Loagaeth",,
"VALGARS",,"PART IN LIL","WE",,,
"VAMI",,"the way of the Lord","WE","Liber Loagaeth",,
"VAN",,"ENOCHIAN LETTER V,U","WE",,,
"VAN",,"star","WE","Liber Loagaeth",,
"VANA",,"starry, stars","WE","Liber Loagaeth",,
"VANDEMINAXAT",,"constellations","WE","Liber Loagaeth",,
"VANDRES",,"the Scepter of the Daughter of Daughter of Light","WE","Liber Loagaeth",,
"VANGEM",,"the will of heaven","WE","Liber Loagaeth",,
"VANGET",,"not the fourth star","WE","Liber Loagaeth",,
"VANGLOR",,"fruit of heaven","WE","Liber Loagaeth",,
"VANS",,"fourth star","WE","Liber Loagaeth",,
"VANSAMPLE",,"the fabric of stars","WE","Liber Loagaeth",,
"VANSAX",,"the circle of stars","WE","Liber Loagaeth",,
"VAOAN","vah-oh-ah-en","truth","EMPM",,,162
"VAOAN",,"truth","WE",,,
"VAR",,"that star, the star in 9","WE","Liber Loagaeth",,
"VARCA",,"spiritual sun","WE","Liber Loagaeth",,
"VARO",,"Va’aro (from Loagaeth: Leaf 1A vs. 10)","WE","Liber Loagaeth",,
"VARSG",,"Servient Angel AIR OF FIRE","WE",,,
"VAS",,"angel of Daughter of Light","WE","Liber Loagaeth",,
"VASA",,"Servient Angel FIRE OF WATER","WE",,,
"VASG",,"Servient Angel AIR OF FIRE","WE",,,
"VASTRIM",,"PART IN RII","WE",,,
"VAU",,"ENOCHIAN LETTER V,U","WE",,,
"VAUL","vah-u-el","to work, toil","EMPM",,,154
"VAUL",,"work","WE",,,
"VAUN",,"work, that ye might","WE",,,
"VAVAAMP",,"PART IN MAZ","WE",,,
"VAX",,"orbit","WE","Liber Loagaeth",,
"VBRAH",,"guardian star","WE","Liber Loagaeth",,
"VD",,"third star","WE","Liber Loagaeth",,
"VDRIOS",,"the Zodiac","WE","Liber Loagaeth",,
"VE",,"the spark of life","WE","Liber Loagaeth",,
"VEH",,"VEH, ENOCHIAN LETTER C OR K","WE",,,
"VELUCORSAPA",,"ENTHRONED","WE",,,
"VEP",,"flame, as a","WE",,,
"VEROX",,"the Holy Spirit","WE","Liber Loagaeth",,
"VICAP",,"meaning unknown","WE",,,
"VIROOLI",,"PART IN ZOM","WE",,,
"VIRQ",,"nests","WE",,,
"VIRUDEN",,"I have beautified (Crowley)","WE",,,
"VIV",,"second","WE",,,
"VIV",,"in the second","WE",,,
"VIV",,"the second","WE",,,
"VIVIPOS",,"PART IN UTA","WE",,,
"VIXPALG",,"PART IN ASP","WE",,,
"VLLA",,"the end of the beginning","WE","Liber Loagaeth",,
"VLOH",,"the end of sorrow","WE","Liber Loagaeth",,
"VLS","fel-ess","the ends, farthest reaches","EMPM",,,85
"VNAEM",,"nine skirts","WE","Liber Loagaeth",,
"VNDANPEL",,"the Master Magickian","WE","Liber Loagaeth",,
"VNDAT",,"also, the Master Magickian","WE","Liber Loagaeth",,
"VNIG","veh-nee-geh","to require, need","EMPM",,,188
"VNPH","ven-pen","anger","EMPM",,,130
"VNRA",,"the wrathful sun","WE","Liber Loagaeth",,
"VO",,"wherein","WE",,,
"VOHIM",,"mighty","WE",,,
"VOM",,"of everyone","WE","Liber Loagaeth",,
"VOMSARG",,"unto every one of you","WE",,,
"VON",,"image of God","WE","Liber Loagaeth",,
"VONPHO",,"wrath, of","WE",,,
"VONPOVNPH",,"wrath in anger","WE",,,
"VOOAN",,"truth","WE",,,
"VOR",,"appearance","WE","Liber Loagaeth",,
"VORS",,"over","WE",,,
"VORSG",,"over you","WE",,,
"VORX",,"visits","WE","Liber Loagaeth",,
"VOTOL",,"wherein all","WE","Liber Loagaeth",,
"VOVIN",,"dragons","WE",,,
"VOVINA",,"dragon, the","WE",,,
"VOX",,"wherein they are (separated)","WE","Liber Loagaeth",,
"VOXAD",,"wherein they are in the third","WE","Liber Loagaeth",,
"VPAAH","veh-pah-ah","wings","EMPM",,,92
"VPAAH",,"wings","WE",,,
"VPAAH",,"wings","WE",,,
"VPAAH",,"wings, the","WE",,,
"VRANKRAN",,"The Son of Son of Light, unto the eld[ers]","WE","Liber Loagaeth",,
"VRBS",,"beautified","WE",,,
"VRDRAH",,"dark star","WE","Liber Loagaeth",,
"VRELP","var-el-peh","an adept, seer","EMPM",,,197
"VRELP",,"seething, a strong","WE",,,
"VREPREZ",,"with beautiful praises","WE","Liber Loagaeth",,
"VRO",,"this one","WE","Liber Loagaeth",,
"VSPSN",,"Servient Angel WATER OF WATER","WE",,,
"VSSN",,"Servient Angel WATER OF WATER","WE",,,
"VX",,"42","WE",,,
"X",,"Pal (X)","WE",,,
"X",,"dissolution","WE","Liber Loagaeth",,
"XA",,"in dissolution","WE","Liber Loagaeth",,
"XGSD",,"Kerubic Angel FIRE OF AIR","WE",,,
"XPACN",,"Servient Angel FIRE OF WATER","WE",,,
"XPCN",,"Servient Angel FIRE OF WATER","WE",,,
"XRINH",,"Servient Angel EARTH OF WATER","WE",,,
"XRNH",,"Servient Angel EARTH OF WATER","WE",,,
"YALPAMB",,"PART IN ZEN","WE",,,
"YARRY",,"PROVIDENCE, TO THE","WE",,,
"YLLMAFS",,"3RD MINISTER OF LUNA","WE",,,
"YLSI",,"BEFORE THEE","WE",,,
"YOLCAM",,"BRING FORTH","WE",,,
"YOLCI",,"BRINGS FORTH","WE",,,
"YOR",,"ROAR","WE",,,
"YRPOIL",,"DIVISION","WE",,,
"YTPA",,"Kerubic Angel WATER OF AIR","WE",,,
"Z",,"Ceph (Z)","WE",,,
"Z",,"THEY","WE",,,
"ZA","zodah","within","EMPM",,,9
"ZA","zodah","within","EMPM",,,15
"ZA",,"NAME OF AN ANGEL","WE",,,
"ZAA",,"27TH AETHYR","WE",,,
"ZAAOZAIF",,"Senior JUPITER of AIR","WE",,,
"ZABLIS",,"both S and Ab (should be followed by a verb—such as to say: both S and Ab went to the store; or even preceded by a verb—such as to say: Henry invited both S and Ab); these are names of two of the Daughters of Daughters of Light.","WE","Liber Loagaeth",,
"ZACAM",,"I MOVE YOU","WE",,,
"ZACAR",,"MOVE","WE",,,
"ZADZACZADLI",,"ADAM, IN BOOK OF SOYGA","WE",,,
"ZAFASAI",,"PART IN ZEN","WE",,,
"ZAH","zodah","inside, inner","EMPM",,,10
"ZAH","zodah","inside, inner","EMPM",,,16
"ZAMFRES",,"PART IN ZID","WE",,,
"ZAMRAN",,"SHOW YOURSELVES","WE",,,
"ZAMRAN",,"APPEAR","WE",,,
"ZAMRAN",,"SHOW YOURSELVES","WE",,,
"ZAR","zod-ar","ways, paths, courses","EMPM",,,109
"ZAR","zod-ar","ways, paths, courses","EMPM",,,115
"ZAR",,"COURSE, COURSES","WE",,,
"ZARNAAH",,"Zodiacal King GEMINI","WE",,,
"ZARZILG",,"Zodiacal King VIRGO","WE",,,
"ZAX",,"TENTH AETHYR","WE",,,
"ZAXANIN",,"PART IN TOR","WE",,,
"ZCHIS",,"THEY ARE","WE",,,
"ZE",,"Daughter of Light","WE","Holy Table of Practice perimeter",,
"ZEBOG",,"the Daughter of Light reigns over","WE","Liber Loagaeth",,
"ZED",,"The Daughter of Light; also a medieval way of pronouncing the English letter Z","WE","Liber Loagaeth",,
"ZEDEKIEL",,"ANGEL OF JUPITER","WE",,,
"ZEMBVGES",,"the Daughter of Light’s 9 glories from the 4th","WE","Liber Loagaeth",,
"ZEN","zod-en","sacrifice","EMPM",,,63
"ZEN","zod-en","sacrifice","EMPM",,,69
"ZEN",,"EIGHTEENTH AETHYR","WE",,,
"ZEZ",,"firey angels","WE","Liber Loagaeth",,
"ZID",,"EIGHTH AETHYR","WE",,,
"ZIEN",,"HANDS","WE",,,
"ZIL",,"?STRETCH FORTH","WE",,,
"ZILDAR","zodee-leh-dar","to fly","EMPM",,,181
"ZILDAR","zodee-leh-dar","to fly","EMPM",,,187
"ZILDAR",,"FLEW","WE",,,
"ZILDRON",,"PART IN CHR","WE",,,
"ZILODARP",,"NAME OF GOD","WE",,,
"ZIM",,"THIRTEENTH AETHYR","WE",,,
"ZIMAH",,"clothed with God","WE","Liber Loagaeth",,
"ZIMII",,"HAVE ENTERED","WE",,,
"ZIMZ",,"VESTURES, MY VESTURES","WE",,,
"ZIN","zodee-en","waters","EMPM",,,113
"ZIN","zodee-en","waters","EMPM",,,119
"ZINGGEN",,"Zodiacal King CAPRICORN","WE",,,
"ZIP",,"NINTH AETHYR","WE",,,
"ZIR",,"I AM","WE",,,
"ZIR",,"PRESENCE","WE",,,
"ZIRACAH",,"Zodiacal King AQUARIUS","WE",,,
"ZIRDO",,"I AMZIRENAIAD I AM THE LORD YOUR GOD","WE",,,
"ZIRN",,"WONDERS","WE",,,
"ZIROM",,"THEY WERE","WE",,,
"ZIROP",,"WAS","WE",,,
"ZIRZIRD",,"PART IN MAZ","WE",,,
"ZIXLAY",,"TO STIR UP","WE",,,
"ZIZA",,"Kerubic Angel FIRE OF FIRE","WE",,,
"ZIZOP","zodee-zodoh-pah","vessels","EMPM",,,105
"ZIZOP","zodee-zodoh-pah","vessels","EMPM",,,117
"ZIZOP",,"VESSELS","WE",,,
"ZLIDA",,"WATER, TO","WE",,,
"ZNA",,"MOTION, MOVEMENT","WE",,,
"ZNRZA",,"SWORE","WE",,,
"ZOL",,"HANDS","WE",,,
"ZOM",,"THIRD AETHYR","WE",,,
"ZOMD",,"IN THE MIDST","WE",,,
"ZON","zodoh-en","form","EMPM",,,83
"ZON","zod-en","form","EMPM",,,89
"ZON-",,"L THE FIRST FORM (Schuler)","WE",,,
"ZONAC",,"THEY ARE APPARELED","WE",,,
"ZONG",,"OF THE WINDS","WE",,,
"ZONRENSG",,"DELIVERED YOU","WE",,,
"ZORGE","zodah-ra-geh","love, friendly","EMPM",,,151
"ZORGE","zodoh-ra-geh","love, friendly","EMPM",,,157
"ZORGE",,"BE FRIENDLY TO ME","WE",,,
"ZUDNA",,"MEANING UNKNOWN","WE",,,
"ZUMVI",,"SEAS","WE",,,
"ZURAAH",,"FERVENTLY, WITH HUMILITY","WE",,,
"ZURAH",,"FERVENTLY, WITH HUMILITY","WE",,,
"ZURCHOL",,"Zodiacal King PISCES","WE",,,
"ZURE",,"MEANING UNKNOWN","WE",,,
"ZURESK",,"Fervently unto the 4 th Heaven, Rushing","WE","Liber Loagaeth",,
